Name,Thesis,Original Reference
Charles Sanders Peirce,"First, Second, Third. First is the conception of being or existing independent of anything else. Second is the conception of being relative to, the conception of reaction with, something else. Third is the conception of mediation, whereby a first and second are brought into relation.",The Essential Writings of Charles Peirce
Charles Sanders Peirce,"if we know what the effects of force are, we are acquainted with every fact that is implied in saying that a force exists, and there is nothing more to know (EWP",The Essential Writings of Charles Peirce
Charles Sanders Peirce,"Four different methods are used to settle our opinsions: the method of tenacity, the method of authority, the a priori method, and the scientific method.",The Essential Writings of Charles Peirce
Charles Sanders Peirce,Inquiry starts with doubt and ends with belief.,"""How to Make our Ideas Clear"""
Charles Sanders Peirce,"All thought is in signs. There are three kinds of signs: natural signs (e.g., clouds signal rain by nature), iconic signs (a portrait signals its subject by resemblance), symbols (words which signal by convention).",On A New List of Categories
Charles Sanders Peirce,"There are three stages of scientific inquiry: abduction, deduction, and induction.",The Essential Writings of Charles Peirce
Charles Sanders Peirce,"There are three kinds of ampliative (non-deductive) inference: induction, hypothesis, and analogy. All of them depend on sampling.",The Essential Writings of Charles Peirce
Charles Sanders Peirce,The Principle of Pragmatism: We clearly understand an object when we are aware of all of its possible effects. The whole of our conception of the object is the whole of these effects.,The Essential Writings of Charles Peirce
Charles Sanders Peirce,"Fallibilism: whatever we think we know, we may always be wrong.",The Essential Writings of Charles Peirce
Charles Sanders Peirce,"We have no power of introspection, no power of thinking without signs, and no power of intuition.","""Questions Certain Faculties Claimed for Man"""
Chrysippus,The world exists for humans.,"The Hellenistic Philosophers, ed. by Long and Sedley (only fragments of Chrysippus's work survive in the work of later philosophers)"
Chrysippus,"Generally speaking, the good is whatever is popular.","The Hellenistic Philosophers, ed. by Long and Sedley (only fragments of Chrysippus's work survive in the work of later philosophers)"
Chrysippus,Animals have no rights.,"The Hellenistic Philosophers, ed. by Long and Sedley (only fragments of Chrysippus's work survive in the work of later philosophers)"
Chrysippus,Self-preservation is the strongest form of motivation (not the pursuit of pleasure).,"The Hellenistic Philosophers, ed. by Long and Sedley (only fragments of Chrysippus's work survive in the work of later philosophers)"
Chrysippus,There are five basic forms of inference.,"The Hellenistic Philosophers, ed. by Long and Sedley (only fragments of Chrysippus's work survive in the work of later philosophers)"
Chrysippus,"We can understand conditionals in terms of modus tollens: if the contradictory of the consequent conflicts with antecedent, the conditional is true.","The Hellenistic Philosophers, ed. by Long and Sedley (only fragments of Chrysippus's work survive in the work of later philosophers)"
Marcus TulliusCicero,Wise men are passionless--they don't get happy and they don't get sad--no matter what happens.,Tusculan Disputations
Marcus TulliusCicero,"We should be cosmopolitans: applying our ethical principles, and extending our kindness, to everyone, irrespective of where they are located or where they are from, because we are all part of a single community.",de Finibus
Clarence Irving Lewis,The only kind of implication is strict implication: p implies q only if q couldn't be false when p is true.,A Survey of Symbolic Logic
Democritus,the cause of sin is ignorance of what is better',The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Democritus,The quest for happiness is central to moral philosophy.,The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Democritus,It's better not to have children.,The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Democritus,"There are only atoms and the void. Atoms come in different shapes (concave, convex, hook-like, eye-shaped). They are infinite in number and variety. They are too small to be seen.",The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Democritus,Matter is not infinitely divisible.,The Fragments of the Presocratics by Hermann Alexander Diels and W. Kranz
Diodorus,"Whatever is possible will someday happen, otherwise it is impossible. ","The Hellenistic Philosophers, ed. by Long and Sedley"
Elizabeth Anscombe,"An adequate theory of justice and virtue depends on an adequate theory of action, explaining intention, pleasure, and wanting.",Intention
Elizabeth Anscombe,"We should do away with the concepts of obligation, duty, and 'ought'.","""Modern Moral Theory"""
Empedocles,Natural selection explains the evolution of species.,Aristotle's Physics
Empedocles,"The fundamental substances (or 'roots') are earth, water, fire and air. The fundamental forces are Love (combinative, attractive) and Strife (repulsive).","fragments collected by Kirk, Raven, and Schofield, The Presocratic Philosophers"
Epictetus,We cannot truly be harmed by whatever evil occurs in the world.,Discourses
Epicurus,"Take your pleasure however you will, but avoid desires that will not cause pain if they are unfulfilled. The good life is about the avoidance of pain as much as the pursuit of pleasure. Vegetarianism and a few buddies suffice for a pleasurable life (the good life). ","The Hellenistic Philosophers, ed. by Long and Sedley (only fragments of Chrysippus's work survive in the work of later philosophers)"
Epicurus,"Appearance are never false, but our judgments of them may be.",Letter to Herodotus
Epicurus,The belief in God is justified because most people believe in the existence of God.,Cicero's On the Nature of the Gods
Francis Bacon,Fundamental to the pursuit of knowledge of an phenomenon is the observation of the properties correlated and anti-correlated with the phenomenon.,Novum Organum
Francis Bacon,"There are four forms of bias that may undermine the pursuit of truth: idols of the tribe, idols of the den, idols of the marketplace, and idols of the theater.",Novum Organum
Francisco Surez,"Wars are just when they meet three conditions: (1) they are declared by a lawful authority, (2) motivated by a just cause, (3) and conducted in manner that avoids unnecessary casualties, including attempts to avoid war entirely. ",De Caritate
Franz Brentano,Intentionality is the mark of the mental--the capacity that makes something a mind.,Psychology from an Empirical Standpoint
Friedrich Nietzsche,There are no moral facts.,Beyond Good and Evil
Friedrich Nietzsche,"War teaches us how to be free, enabling us to appreciate victory over everything else (including happiness).",Twilight of the Idols
Friedrich Nietzsche,"Humanity will be succeeded by the ubermensch (i.e., the 'overman' or 'superman'), a highly talented sort of being that lives for the pursuit of power.",Thus Spoke Zarathustra
Friedrich Nietzsche,"Charity is bad, because it humuliates the recipient and cultivates pity (a vice) in the philanthropist. Christians are charitable because they enjoy the feeling of power over the needy.",Thus Spoke Zarathustra
Friedrich Nietzsche,"Christianity is rooted in resentment of more powerful people, not love. ",Thus Spoke Zarathustra
Friedrich Nietzsche,"Sometime in the past, the weak overwhelmed the strong and created a system of values to replace those of the strong. The values of the weak are humility, sympathy, and generosity. The values of the strong were bravery, truthfulness, and acheivement.",Genealogy of Morals
Georg Gentzen,"Natural Deduction: We can create more natural, rule-based systems of logic without axioms.",
Georg Wilhelm Friedrich Hegel,The history of the world is a rational process.,Lectures on the History of Philosophy
Georg Wilhelm Friedrich Hegel,"We only realize our true nature, and become free, in the context of the State.",The Philosophy of Right
George Berkeley,We do not form concepts by means of abstraction.,Principles of Human Knowledge
George Berkeley,Distance is not seen. Distance is an association between visual appearances and the feelings we experience by moving our bodies and eyes to adjust visual experience.,An Essay Towards a New Theory of Vision
George Edward Moore,"Goodness is not a natural property, though it can be a property of natural things. Only friendship and aesthetic experience have intrinsic goodness.",Principia Ethica
Gilbert Ryle,"Knowledge how' to do something must be distinguished from 'knowledge that' something is the case, when we create a taxonomy of different forms and standards of knowledge.",The Concept of Mind
Gorgias,"There is nothing, and if there were anything, no one would be able to know about it or share knowledge of it.",On What is Not
Gottfried Leibniz,"Reality consists of monads, which are each worlds of their own, bearing no spatial relationship to each other, but occasionally bearing hierarchical relationships to each other. ",The Monadology
Gottfried Leibniz,We live in the best of all possible worlds. ,Theodicy
Gottfriend Leibnize,"When A and B are identical, what is true of A is true of B and vice versa (Leibniz's Law). If whatever is true of A is true of B, and vice versa, then A is identical with B. (the Identity of Indiscernibles).",Discourse on Metaphysics
Gottfriend Leibnize,"Necessary truths are truths by definition: when a truth is necessary, the reason for it can be found by analysis, that is, by resolving it into simpler ideas and truths until the primary ones are reached.",Discourse on Metaphysics
Gottfriend Leibnize,"Principle of Sufficient Reason: Everything is the way  that it is, rather than some other way, for a reason.",The Complete Works (Gerhardt edition)
Gottlob Frege,"There are three realms: the physical realm, the realm of ideas, and the realm of objective thought.","Collected Papers on Mathematics, Logic and Philosophy"
Gottlob Frege,"A sentence can have a sense and a reference. The sense connects the sentence to an intended meaning or mode of presentation (e.g. 'The evening star is over there' is a way of expressing a thought about Venus). The reference connects the sentence to things in the world (e.g. 'The evening star is over there' refers to an object, namely, Venus). We may be unaware that two sentences are describing the same reference, for example, if one of us does not know that Venus is the evening star. We regulated languages have one word per sense.","Collected Papers on Mathematics, Logic and Philosophy"
Gottlob Frege,Sentences in works of fiction can lack reference.,"Collected Papers on Mathematics, Logic and Philosophy"
Gottlob Frege,"Arithmetic and logic are known a priori, and their truths are all truths by definition.","The Begriffsschrift (or ""Concept Notation: A formula language of pure thought, modelled upon that of arithmetic"")"
Gottlob Frege,Logic is not a branch of psychology,Foundations of Arithmetic
Henry Sidgwick,Rational egoism: we each must seek our own good.,Methods of Ethics
Henry Sidgwick,Psychological hedonism conflicts with ethical hedonism. ,Methods of Ethics
Heraclitus,"Everything is in flux and everything is made of fire, and fire was not made by anyone or anything, though it does abide by natural laws.","Kirk, Raven, and Schofield, The Presocratic Philosophers"
Immanuel Kant,"Moral actions must be motivated by a sense of duty, and the intention to treat people as intrinsically valuable, never as means to an end. Duty, not happiness, is the fundamental moral concept.",Groundwork of the Metaphysics of Morals
Immanuel Kant,"Four paralogisms (or fallacious syllogisms) of pure reason: ""(1) from Necessarily the thinking subject is a subject we conclude The thinking subject is a necessary subject; (2) from Dividing up the ego makes no sense we conclude The ego is an indivisible substance; (3) from Whenever I am conscious, it is the same I who am conscious we conclude Whenever I am conscious, I am conscious of the same I; (4) from I can think of myself without my body we conclude Without my body I can think of myself. In each paralogism, a harmless analytical proposition is converted, by logical sleight of hand, into a contentious synthetic a priori proposition. On the basis of the paralogisms rational psychology concludes that the self is an immaterial, incorruptible, personal, immortal entity."" (quoted from Kenny) ",Critique of Pure Reason
Immanuel Kant,"Apperception: perception of object attended by an awareness that of oneself as the consistent subject of such perceptions. Transcendental apperception: approximately self-consciousness, the percpetion of oneself as such.",Critique of Pure Reason
Immanuel Kant,The human mind has three components: (a) a cognitive component; (b) an affective component; and (c) a connative component.,Critique of Judgement
Immanuel Kant,Our capacity to identify cause and effect relationships enables us to experience time.,Critique of Pure Reason
Immanuel Kant,The problem of the continuum cannot be solved.,Critique of Pure Reason
Immanuel Kant,"Whatever you sense, you can think about. If you sense something, it is classified under a concept. Understanding enables us to form concepts, but the understand can't do its work without the senses. We apply our concepts by way of our capacity for judgment.",Critique of Pure Reason
Immanuel Kant,"There are two kinds of knowledge: a priori (independent of experience) and a posteriori (based on experience). There are two kinds of judgment: analytic (relating a concept to itself in some respect) and synthetic (relating multiple concepts to each other). Ex. ""All bachelors are unmarried,"" is analytic, because being unmarried is part of the concept of a bachelor. ""Lifelong bachelors have a shorter life expectancy,"" is synthetic, because shorter life expectancy is not part of the concept of a bachelor. If metaphysics is ever going to be a science, we must be able to make true synthetic a priori judgments: necessary truths that are not the result of merely relating a concept to itself. ",Critique of Pure Reason
Immanuel Kant,"If an action is moral, then everyone should do it (and should be able to do it) without exception and without regard for any special circumstance. Ex. Lying is immoral. For lying to succeed, people must speak the truth at least some of the time. If everyone lied all of the time, language would be useless. If everyone lied in a particular circumstance, all of the time, language would break down in that particular circumstance.",Critique of Practical Reason
Immanuel Kant,"Hypothetical Imperative: a commandent to perform an action, given a special set of circumstances. Categorical Imperative: a commandment to perform an action, regardless of circumstance.",Groundwork for the Metaphysics of Morals
Immanuel Kant,Space and time are not mind-independent: they are part of our own cognitive machinery for turning sensation into experience.,Critique of Pure Reason
Isaac Newton,Space is the sensorium of God,The Opticks
Jean-Jacques Rousseau,"We should not separate governmental powers, such as the legislative and executive powers.",The Social Contract
Jean-Jacques Rousseau,No single form of government is appropriate for all circumstances.,The Social Contract
Jean-Jacques Rousseau,Representative democracy is preferable to direct democracy.,The Social Contract
Jean-Jacques Rousseau,"The general will could be assessed by referendum if (1) every voter was fully informed on the issues under vote, and (2) voters did not communicate with each other on the issues. Governance by the general will ensures that citizens are at least as free, under a social contract, as they are in a state of nature.",The Social Contract
Jean-Paul Sartre,"Nothing is some kind of object, or thing.",
Jeremy Bentham,"natural rights is simple nonsense: natural and imprescriptible rights, rhetorical nonsense nonsense upon stlits.'",Anarchical Fallacies
Jeremy Bentham,"The goals of punishment, under the law, should be deterrence of crime, reformation of the criminal, and the disablement of the criminal. The goal should not be revenge.",An Introduction to Principles of Morals and Punishment
Jeremy Bentham,"To figure out whether an act is approved by God, we first have to figure out whether it's moral, not vice versa.",An Introduction to Principles of Morals and Punishment
Jeremy Bentham,Psychological and ethical hedonism are both true.,An Introduction to Principles of Morals and Punishment
Jeremy Bentham,"One pleasure is preferable to another if it is more intense, lasts longer, is more certain, or more immediate.",An Introduction to Principles of Morals and Punishment
Jeremy Bentham,Happiness is pleasure and pleasure is a sensation.,An Introduction to Principles of Morals and Punishment
Jeremy Bentham,The happiness of the majority is the standard by which we should judge social policy.,An Introduction to Principles of Morals and Punishment
John Langshaw Austin,"Performative utterances are forms of speech that are also actions, such as bets, appointments, vetoes, apologies, and curses. They are not true or false, and they are not used to communicate a state of affairs so much as to bring a state of affairs (e.g. an agreement) into being.",How to Do Things with Words
John Locke,It's never right to hold a belief without evidence or argument.,Essay Concerning Human Understanding
John Locke,"A government's legitmacy is maintained by the consent of its people. You implicitly consent to your government's social contract by enjoying the benefits of that contract, living in the respective country under that government.",Two Treatises of Government
John Locke,"You are entitled to whatever you produce by your physical work, but your right is limited by your ability to use what you produced.",Two Treatises of Government
John Locke,"We are at the same time men and women (human animals), immaterial spirits, and bearers of self-consciousness (persons). Only persons have rights. The continuity of a person's memories ensures that one is the same person over time.",Essay Concerning Human Understanding
John Locke,"Freedom requires (1) the will to act, and (2) the power to succeed in your course of actions.",Essay Concerning Human Understanding
Immanuel Kant,"Our ability to think depends on our ability to have sensory experience, but sensory experience without a prior conceptual structure will never get off the ground. 'Thoughts without content are empty; intuitions without concepts are blind.'",Critique of Pure Reason
John Rawls,"Reflective equilibrium: general principles ('never kill') may be in conflict with each other ('kill when it prevents mass murder'), or in conflict with beliefs about special cases ('Superman was right to kill Zod'). Upon reflection, we may discover these kinds of conflicts, and try to resolve them by adjusting our general principles (giving up on 'never kill') or by adjusting our attitudes toward special cases (Superman was wrong to kill Zod).",A Theory of Justice
John Rawls,"Justice is fairness. Fair laws can treat people unequally only to the extent that they benefit the worst off in society. Fair laws can be generated by imagining what laws would be in our best interest to adopt, if we were completely ignorant of our individual characteristics (e.g. race, income, sex). For example, from an egocentrically rational perspective, you would not accept a law that could be detrimental to women if you might be a woman. ",A Theory of Justice
John Rawls,Utilitarianism does not protect against unfair discrimination.,A Theory of Justice
John Stuart Mill,"We need freedom of speech, because we are fallible and dissenting opinions may offer an opportunity for us to come closer to the truth.",On Liberty
John Stuart Mill,"All moral systems have to make room for conflicting obligations, and utility is not the only creed which is able to furnish us with excuses for evil doing, and means of cheating our own conscience (U 277).",Utilitarianism
John Stuart Mill,"The Harm Principle: We may restrict a person's actions only when those actions will harm other people. In other words, we may not legislate against purely self-regarding behavior.",On Liberty
John Stuart Mill,Women should have legal equality with men.,The Subjection of Women
John Stuart Mill,We do not always need to calculate the expected utility of our options before taking action.,Utilitarianism
John Stuart Mill,"We should ultimately aim at reducing as much pain in the world as possible, and increase as much as possible the quantity and quality of enjoyment in the world.",Utilitarianism
John Stuart Mill,"Matter is a permanent possibility of sensation; the external world is the world of possible sensations, organized by natural law.",System of Logic
John Stuart Mill,Mathematical knowledge is based on sensory experience and consists of empirical generalizations. It is not a priori.,System of Logic
John Stuart Mill,"The proposition that the course of Nature is uniform, is the fundamental principle, or general axiom, of Induction.",System of Logic
John Wyclif,"Universals are real. Suppose that thing A is resembles thing B. A must resemble B in some respect C. That A resembles B in respect C is the same thing A and B sharing C-ness, which is a universal common to A and B.",On Universals
John Wyclif,We should be communists.,De Civili Dominio
Karl Marx,History evolves in a lawlike fashion.,Capital
Karl Marx,"Capitalism will be replaced by the dictatorship of the proletariat, which will abolish private property, and usher in a socialist state. Capitalism, where business owners do not necessarily work for the businesses they own, will be replaced by worker-owned businesses. Private business will be abolished.",Capital
Karl Marx,Workers cannot receive a fair return on their work so long as we use money to pay people.,"Value, Price and Profit (ed. E.M. Aveling)"
Karl Marx,Historical Materialism: the systems we use to produce and exchange goods and services determine the political systems as well as the intellectual history of our society.,Critique of Political Economy
Karl Marx,"Private property is the basis of the State, and the State alienates us from our true nature. Revolution, not philosophical reflection, is the solution to the problem of the State. The philosophers have only interpreted the world in various ways; the point is to change it.",Theses on Feuerbach
Karl Popper,"Marxism, as an empirical theory, has been falsified.",The Open Society and Its Enemies
Karl Popper,Incitement to intolerance should be illegal and the state should protect the poor from the wealthy.,The Open Society and Its Enemies
Karl Popper,Plato and Marx were enemies of the open society.,The Open Society and Its Enemies
Karl Popper,"The state must leave enough room for markets to correct themselves. However, unlimited economic freedom is incoherent. Without government intervention, monopolies, trusts and unions will create unfreedom. Freedom requires restrictions.",The Open Society and Its Enemies
Karl Popper,"The difference between science and pseudoscience is falsifiability. There is no such thing as confirmation of a scientific theory, per se. There is only survival of severe testing, when we look for predictive failures from our theories, but the theory does not fail to agree with experimental evidence.",The Logic of Scientific Discovery
Kurt Godel,"Arithmetic is not a complete system, nor can it be turned into a complete system. There will always be statements about arithmetic that cannot be proved from within arithmetic. Arithmetic cannot be reduced to first-order logic.","""On Formally Undecidable Propositions in Principia Mathematica and Related Systems I"""
Lucretius,"The mind and soul die when our bodies die, so we should not fear death.",On the Nature of Things
Ludwig Wittgenstein,Our capacities for behavior determine our capacities for experience.,Philosophical Investigations
Ludwig Wittgenstein,Objects are indivisible and combinable. Objects cannot be created or destroyed. All possible worlds contain the same objects. If any object is given all objects are given.,Tractatus Logico-Philosophicus
Ludwig Wittgenstein,States of affairs are inferentially independent of eachother.,Tractatus Logico-Philosophicus
Ludwig Wittgenstein,"Radical skepticism is incoherent because it undermines our confidence in the meaning of the words used to express it. Real doubt makes a difference to how we conduct ourselves. And, real doubt has a reason--we cannot just decide to doubt and succeed at it.",On Certainty
Ludwig Wittgenstein,"Philosophy is not science: philosophers constantly see the methods of science before their eyes, and are irresistibly tempted to answer questions in the way science does. This tendency is the real source of metaphysics, and leads the philosopher into complete darkness",The Blue Book
Ludwig Wittgenstein,"when philosophers use a word knowledge, being, object, I, proposition, name and try to grasp the essence of the thing, one must always ask oneself: is the word ever actually used in this way in the language which is its original home? What we do is to bring words back from their metaphysical to their everyday use)'.",Philosophical Investigations
